Escenario,C,Gamma,Class_weight,Recall_valid_CV,Std_Recall_CV,Recall_train_CV,Rank
A - Todas las variables,0.1,1,,1.0,0.0,1.0,1
A - Todas las variables,0.1,1,balanced,1.0,0.0,1.0,1
A - Todas las variables,0.3,1,,0.9947368421052631,0.010526315789473672,1.0,3
A - Todas las variables,0.3,1,balanced,0.9947368421052631,0.010526315789473672,1.0,3
A - Todas las variables,1.0,1,balanced,0.9947368421052631,0.010526315789473672,1.0,3
B - Top 3 variables,3.0,scale,balanced,0.9735419630156471,0.01664599794744892,0.9761763680724991,1
B - Top 3 variables,10.0,scale,balanced,0.9735419630156471,0.023539276919985915,0.9788340885325898,1
B - Top 3 variables,10.0,0.3,balanced,0.9735419630156471,0.023539276919985915,0.9788340885325898,1
B - Top 3 variables,100.0,0.03,balanced,0.9735419630156471,0.028828906815297185,0.9708957825026141,1
B - Top 3 variables,30.0,0.03,balanced,0.9735419630156471,0.028828906815297185,0.9722202858138724,1
